saleID,saleDate,productID,productName,productCategory,productColor,productSize,quantity,unitPrice,costPrice,totalAmount,totalCost,customerID,customerName,location,locationLatitude,locationLongitude,salespersonID,salespersonName,status,salesChannel,profit,Date,Year,Month,Month Number
S00021,2024-08-27 19:38:00,P1020,Kid's_020,Kid's Wear,Maroon,XS,3,1250.03,831.94,3750.09,2495.82,C20020,Bhuvana_0020,Salem,11.6643,78.146,SP140,Abhishek,Cancelled,in-store,1254.27,2024-08-27,2024,August,8
S00022,2023-09-28 20:19:00,P1021,Jeans_021,Jeans,Green,M,4,2261.01,1572.31,9044.04,6289.24,C20021,Sanjay_0021,Madurai,9.9252,78.1198,SP134,Kiran,Cancelled,mobile_app,2754.8,2023-09-28,2023,September,9
S00023,2023-03-13 12:25:00,P1022,Men's_022,Men's Shirts,Yellow,L,2,1010.91,698.98,2021.82,1397.96,C20022,Aarav_0022,Coimbatore,11.0168,76.9558,SP123,Sathish,Returned,in-store,623.86,2023-03-13,2023,March,3
S00024,2023-04-18 16:29:00,P1023,Jeans_023,Jeans,Red,S,1,475.69,333.59,475.69,333.59,C20023,Ganesh_0023,Coimbatore,11.0168,76.9558,SP105,Suresh,Shipped,in-store,142.1,2023-04-18,2023,April,4
S00025,2024-09-04 13:31:00,P1024,Women's_024,Women's Dresses,Maroon,S,1,1128.82,699.27,1128.82,699.27,C20024,Kavin_0024,Vellore,12.9165,79.1325,SP135,Shankar,Pending,mobile_app,429.55,2024-09-04,2024,September,9
S00026,2023-06-15 12:41:00,P1025,T-Shirts_025,T-Shirts,Maroon,XL,1,892.02,611.44,892.02,611.44,C20025,Priya_0025,Tiruchirappalli,10.7905,78.7047,SP134,Kiran,Pending,in-store,280.58,2023-06-15,2023,June,6
S00027,2023-01-24 17:30:00,P1026,T-Shirts_026,T-Shirts,Pink,XXL,3,276.02,194.19,828.06,582.57,C20026,Lakshmi_0026,Tirunelveli,8.7139,77.7567,SP128,Krishna,Cancelled,online,245.49,2023-01-24,2023,January,1
S00028,2024-02-17 18:31:00,P1027,Sportswear_027,Sportswear,Blue,S,1,2467.0,1659.35,2467.0,1659.35,C20027,Meena_0027,Coimbatore,11.0168,76.9558,SP121,Vinod,Paid,online,807.65,2024-02-17,2024,February,2
S00029,2024-03-12 19:14:00,P1028,Jeans_028,Jeans,Black,XS,4,2047.22,1517.17,8188.88,6068.68,C20028,Diya_0028,Chennai,13.0827,80.2707,SP114,Ganesh,Paid,in-store,2120.2,2024-03-12,2024,March,3
S00030,2024-10-01 14:48:00,P1029,Men's_029,Men's Shirts,Yellow,XS,1,546.65,411.33,546.65,411.33,C20029,Anu_0029,Tiruchirappalli,10.7905,78.7047,SP117,Ashok,Shipped,in-store,135.32,2024-10-01,2024,October,10
S00031,2024-03-28 20:19:00,P1030,Jeans_030,Jeans,Maroon,S,2,238.15,179.48,476.3,358.96,C20030,Devi_0030,Vellore,12.9165,79.1325,SP115,Santosh,Shipped,online,117.34,2024-03-28,2024,March,3
S00032,2023-05-28 17:10:00,P1031,Kurta_031,Kurta,Black,XS,1,1114.42,841.75,1114.42,841.75,C20031,Diya_0031,Erode,11.34,77.7172,SP122,Bharath,Shipped,online,272.67,2023-05-28,2023,May,5
S00033,2024-06-28 18:44:00,P1032,Kurta_032,Kurta,Grey,XXL,1,2326.8,2008.5,2326.8,2008.5,C20032,Aarav_0032,Coimbatore,11.0168,76.9558,SP103,Rahul,Shipped,online,318.3,2024-06-28,2024,June,6
S00034,2023-06-17 17:49:00,P1033,Sarees_033,Sarees,Blue,S,1,1388.26,941.59,1388.26,941.59,C20033,Meena_0033,Tiruchirappalli,10.7905,78.7047,SP134,Kiran,Shipped,in-store,446.67,2023-06-17,2023,June,6
S00035,2024-10-09 21:33:00,P1034,Kid's_034,Kid's Wear,Pink,S,1,634.03,433.46,634.03,433.46,C20034,Vishal_0034,Vellore,12.9165,79.1325,SP115,Santosh,Paid,in-store,200.57,2024-10-09,2024,October,10
S00036,2024-03-31 20:51:00,P1035,Sportswear_035,Sportswear,Maroon,XS,3,1993.71,1580.23,5981.13,4740.69,C20035,Aarav_0035,Chennai,13.0827,80.2707,SP105,Suresh,Pending,in-store,1240.44,2024-03-31,2024,March,3
S00037,2023-02-24 11:53:00,P1036,Kid's_036,Kid's Wear,Pink,L,2,1535.58,1092.85,3071.16,2185.7,C20036,Ravi_0036,Tiruchirappalli,10.7905,78.7047,SP125,Saravanan,Paid,mobile_app,885.46,2023-02-24,2023,February,2
S00038,2024-09-03 21:17:00,P1037,Kid's_037,Kid's Wear,Pink,XS,3,1462.09,1180.74,4386.27,3542.22,C20037,Priya_0037,Salem,11.6643,78.146,SP129,Nithin,Returned,in-store,844.05,2024-09-03,2024,September,9
S00039,2024-02-28 12:42:00,P1038,Kurta_038,Kurta,Maroon,XXL,1,1335.96,873.25,1335.96,873.25,C20038,Devi_0038,Vellore,12.9165,79.1325,SP109,Ajay,Pending,mobile_app,462.71,2024-02-28,2024,February,2
S00040,2023-08-27 18:43:00,P1039,T-Shirts_039,T-Shirts,Black,XS,1,1447.84,1089.71,1447.84,1089.71,C20039,Sathish_0039,Chennai,13.0827,80.2707,SP147,Prem,Returned,in-store,358.13,2023-08-27,2023,August,8
S00041,2024-02-18 13:35:00,P1040,Men's_040,Men's Shirts,Red,XL,3,1104.12,957.95,3312.36,2873.85,C20040,Ravi_0040,Madurai,9.9252,78.1198,SP103,Rahul,Cancelled,in-store,438.51,2024-02-18,2024,February,2
S00042,2024-02-15 19:30:00,P1041,Women's_041,Women's Dresses,Green,XS,2,1738.53,1493.83,3477.06,2987.66,C20041,Sathish_0041,Coimbatore,11.0168,76.9558,SP143,Gokul,Pending,online,489.4,2024-02-15,2024,February,2
S00043,2023-05-30 15:34:00,P1042,Kurta_042,Kurta,Blue,XL,1,300.29,269.77,300.29,269.77,C20042,Meena_0042,Chennai,13.0827,80.2707,SP139,Yogesh,Paid,in-store,30.52,2023-05-30,2023,May,5
S00044,2023-11-02 13:53:00,P1043,Kurta_043,Kurta,Maroon,M,2,235.55,206.93,471.1,413.86,C20043,Ganesh_0043,Salem,11.6643,78.146,SP113,Ramesh,Returned,online,57.24,2023-11-02,2023,November,11
S00045,2023-10-06 21:57:00,P1044,Jeans_044,Jeans,White,L,1,373.3,258.22,373.3,258.22,C20044,Kavin_0044,Salem,11.6643,78.146,SP129,Nithin,Returned,mobile_app,115.08,2023-10-06,2023,October,10
S00046,2023-05-05 13:29:00,P1045,Women's_045,Women's Dresses,Red,L,1,1480.64,1304.22,1480.64,1304.22,C20045,Sathish_0045,Coimbatore,11.0168,76.9558,SP104,Vijay,Cancelled,mobile_app,176.42,2023-05-05,2023,May,5
S00047,2024-03-28 16:05:00,P1046,Jeans_046,Jeans,Maroon,M,4,2477.12,1590.37,9908.48,6361.48,C20046,Kavin_0046,Tirunelveli,8.7139,77.7567,SP104,Vijay,Pending,in-store,3547.0,2024-03-28,2024,March,3
S00048,2023-12-03 20:44:00,P1047,Sarees_047,Sarees,White,S,1,514.23,417.9,514.23,417.9,C20047,Ravi_0047,Salem,11.6643,78.146,SP139,Yogesh,Cancelled,in-store,96.33,2023-12-03,2023,December,12
S00049,2023-12-26 13:25:00,P1048,Men's_048,Men's Shirts,Maroon,M,1,2194.27,1917.73,2194.27,1917.73,C20048,Ganesh_0048,Coimbatore,11.0168,76.9558,SP108,Ravi,Returned,mobile_app,276.54,2023-12-26,2023,December,12
S00050,2023-11-29 16:47:00,P1049,Women's_049,Women's Dresses,Blue,XXL,1,363.16,261.12,363.16,261.12,C20049,Anu_0049,Madurai,9.9252,78.1198,SP117,Ashok,Returned,mobile_app,102.04,2023-11-29,2023,November,11
S00051,2023-02-02 20:01:00,P1050,Jeans_050,Jeans,Yellow,S,1,416.16,321.89,416.16,321.89,C20050,Lakshmi_0050,Salem,11.6643,78.146,SP132,Murali,Shipped,in-store,94.27,2023-02-02,2023,February,2
S00052,2023-01-24 15:32:00,P1051,T-Shirts_051,T-Shirts,Red,XS,2,2129.55,1827.41,4259.1,3654.82,C20051,Lakshmi_0051,Erode,11.34,77.7172,SP117,Ashok,Paid,mobile_app,604.28,2023-01-24,2023,January,1
S00053,2023-06-12 10:18:00,P1052,Men's_052,Men's Shirts,Yellow,S,1,492.24,372.46,492.24,372.46,C20052,Lakshmi_0052,Salem,11.6643,78.146,SP110,Manoj,Shipped,online,119.78,2023-06-12,2023,June,6
S00054,2024-05-15 12:37:00,P1053,Kurta_053,Kurta,Maroon,XS,2,2136.65,1406.59,4273.3,2813.18,C20053,Diya_0053,Coimbatore,11.0168,76.9558,SP144,Rohit,Pending,in-store,1460.12,2024-05-15,2024,May,5
S00055,2023-09-25 18:08:00,P1054,Men's_054,Men's Shirts,Yellow,XL,2,2429.93,1978.88,4859.86,3957.76,C20054,Anu_0054,Madurai,9.9252,78.1198,SP127,Sanjay,Pending,mobile_app,902.1,2023-09-25,2023,September,9
S00056,2023-01-27 14:26:00,P1055,Men's_055,Men's Shirts,White,M,1,380.45,231.16,380.45,231.16,C20055,Ganesh_0055,Chennai,13.0827,80.2707,SP122,Bharath,Pending,in-store,149.29,2023-01-27,2023,January,1
S00057,2024-09-17 20:41:00,P1056,Jeans_056,Jeans,Blue,M,2,333.85,291.97,667.7,583.94,C20056,Sanjay_0056,Erode,11.34,77.7172,SP139,Yogesh,Pending,in-store,83.76,2024-09-17,2024,September,9
S00058,2023-10-15 12:05:00,P1057,Jeans_057,Jeans,Green,S,1,1718.45,1175.39,1718.45,1175.39,C20057,Ganesh_0057,Erode,11.34,77.7172,SP101,Arun,Pending,online,543.06,2023-10-15,2023,October,10
S00059,2024-09-12 18:33:00,P1058,Sarees_058,Sarees,Pink,XXL,3,1879.09,1154.35,5637.27,3463.05,C20058,Bhuvana_0058,Tiruchirappalli,10.7905,78.7047,SP117,Ashok,Pending,in-store,2174.22,2024-09-12,2024,September,9
S00060,2024-01-03 11:07:00,P1059,Women's_059,Women's Dresses,Pink,XS,2,466.97,286.63,933.94,573.26,C20059,Bhuvana_0059,Vellore,12.9165,79.1325,SP114,Ganesh,Pending,online,360.68,2024-01-03,2024,January,1
S00061,2023-01-27 20:42:00,P1060,Sportswear_060,Sportswear,Yellow,M,2,239.47,198.52,478.94,397.04,C20060,Bhuvana_0060,Tiruchirappalli,10.7905,78.7047,SP114,Ganesh,Paid,online,81.9,2023-01-27,2023,January,1
S00062,2024-06-08 14:27:00,P1061,Jeans_061,Jeans,Pink,M,2,1116.56,876.23,2233.12,1752.46,C20061,Vishal_0061,Coimbatore,11.0168,76.9558,SP149,Hari,Returned,in-store,480.66,2024-06-08,2024,June,6
S00063,2024-02-17 10:22:00,P1062,Sarees_062,Sarees,Maroon,L,1,2346.9,1760.91,2346.9,1760.91,C20062,Lakshmi_0062,Tirunelveli,8.7139,77.7567,SP101,Arun,Paid,in-store,585.99,2024-02-17,2024,February,2
S00064,2023-12-17 18:36:00,P1063,T-Shirts_063,T-Shirts,Green,XL,4,2371.78,2040.11,9487.12,8160.44,C20063,Vishal_0063,Chennai,13.0827,80.2707,SP106,Praveen,Cancelled,online,1326.68,2023-12-17,2023,December,12
S00065,2024-02-18 19:40:00,P1064,Kurta_064,Kurta,Yellow,XXL,1,1679.56,1238.63,1679.56,1238.63,C20064,Sanjay_0064,Tirunelveli,8.7139,77.7567,SP127,Sanjay,Cancelled,mobile_app,440.93,2024-02-18,2024,February,2
S00066,2023-12-21 21:23:00,P1065,Women's_065,Women's Dresses,Pink,XL,1,1698.41,1124.36,1698.41,1124.36,C20065,Meena_0065,Salem,11.6643,78.146,SP102,Kumar,Shipped,mobile_app,574.05,2023-12-21,2023,December,12
S00067,2023-06-28 12:22:00,P1066,Men's_066,Men's Shirts,Maroon,XL,2,417.22,335.82,834.44,671.64,C20066,Lakshmi_0066,Tiruchirappalli,10.7905,78.7047,SP123,Sathish,Shipped,in-store,162.8,2023-06-28,2023,June,6
S00068,2023-02-16 13:50:00,P1067,Women's_067,Women's Dresses,Yellow,XL,1,983.44,666.98,983.44,666.98,C20067,Karthik_0067,Coimbatore,11.0168,76.9558,SP146,Selva,Returned,online,316.46,2023-02-16,2023,February,2
S00069,2023-11-19 18:20:00,P1068,T-Shirts_068,T-Shirts,Pink,M,1,2218.19,1820.07,2218.19,1820.07,C20068,Priya_0068,Salem,11.6643,78.146,SP135,Shankar,Pending,in-store,398.12,2023-11-19,2023,November,11
S00070,2024-06-06 13:10:00,P1069,Jeans_069,Jeans,Pink,XXL,1,1507.6,1165.04,1507.6,1165.04,C20069,Priya_0069,Madurai,9.9252,78.1198,SP139,Yogesh,Cancelled,in-store,342.56,2024-06-06,2024,June,6
S00071,2024-04-20 11:15:00,P1070,T-Shirts_070,T-Shirts,Pink,XL,4,2340.74,2007.24,9362.96,8028.96,C20070,Bhuvana_0070,Chennai,13.0827,80.2707,SP119,Deepak,Returned,online,1334.0,2024-04-20,2024,April,4
S00072,2023-10-06 19:45:00,P1071,Jeans_071,Jeans,Pink,XL,1,1068.78,812.59,1068.78,812.59,C20071,Sathish_0071,Tirunelveli,8.7139,77.7567,SP129,Nithin,Shipped,in-store,256.19,2023-10-06,2023,October,10
S00073,2023-11-19 14:17:00,P1072,Sportswear_072,Sportswear,Black,XL,1,1095.16,660.66,1095.16,660.66,C20072,Ravi_0072,Madurai,9.9252,78.1198,SP142,Kishore,Paid,mobile_app,434.5,2023-11-19,2023,November,11
S00074,2024-08-11 11:19:00,P1073,T-Shirts_073,T-Shirts,Maroon,XXL,3,1756.57,1308.22,5269.71,3924.66,C20073,Lakshmi_0073,Tirunelveli,8.7139,77.7567,SP105,Suresh,Pending,mobile_app,1345.05,2024-08-11,2024,August,8
S00075,2023-11-17 10:05:00,P1074,T-Shirts_074,T-Shirts,Black,S,2,955.93,766.42,1911.86,1532.84,C20074,Kavin_0074,Chennai,13.0827,80.2707,SP102,Kumar,Pending,in-store,379.02,2023-11-17,2023,November,11
S00076,2024-05-04 19:47:00,P1075,Sportswear_075,Sportswear,Blue,L,2,2341.14,2088.94,4682.28,4177.88,C20075,Priya_0075,Tiruchirappalli,10.7905,78.7047,SP145,Naren,Shipped,in-store,504.4,2024-05-04,2024,May,5
S00077,2024-10-09 10:44:00,P1076,Sportswear_076,Sportswear,Pink,S,2,1007.1,639.63,2014.2,1279.26,C20076,Kavin_0076,Chennai,13.0827,80.2707,SP148,Jagan,Paid,mobile_app,734.94,2024-10-09,2024,October,10
S00078,2023-04-03 19:37:00,P1077,Kurta_077,Kurta,Black,S,2,2128.51,1549.19,4257.02,3098.38,C20077,Sanjay_0077,Vellore,12.9165,79.1325,SP103,Rahul,Cancelled,in-store,1158.64,2023-04-03,2023,April,4
S00079,2023-05-25 14:53:00,P1078,Jeans_078,Jeans,Blue,L,1,387.1,242.11,387.1,242.11,C20078,Kavin_0078,Vellore,12.9165,79.1325,SP142,Kishore,Cancelled,in-store,144.99,2023-05-25,2023,May,5
S00080,2024-10-03 14:22:00,P1079,Sarees_079,Sarees,Grey,XL,2,744.38,649.33,1488.76,1298.66,C20079,Bhuvana_0079,Erode,11.34,77.7172,SP135,Shankar,Shipped,in-store,190.1,2024-10-03,2024,October,10
S00081,2024-01-20 14:42:00,P1080,Kid's_080,Kid's Wear,Grey,L,1,1987.44,1525.4,1987.44,1525.4,C20080,Vishal_0080,Tiruchirappalli,10.7905,78.7047,SP140,Abhishek,Returned,in-store,462.04,2024-01-20,2024,January,1
S00082,2023-10-03 20:06:00,P1081,Sportswear_081,Sportswear,Black,M,1,783.47,565.32,783.47,565.32,C20081,Ravi_0081,Coimbatore,11.0168,76.9558,SP145,Naren,Returned,third-party,218.15,2023-10-03,2023,October,10
S00083,2024-01-07 18:46:00,P1082,Jeans_082,Jeans,White,M,4,1693.18,1394.86,6772.72,5579.44,C20082,Karthik_0082,Coimbatore,11.0168,76.9558,SP108,Ravi,Pending,in-store,1193.28,2024-01-07,2024,January,1
S00084,2024-01-15 21:22:00,P1083,Jeans_083,Jeans,Pink,XXL,1,390.65,296.31,390.65,296.31,C20083,Kavin_0083,Tiruchirappalli,10.7905,78.7047,SP104,Vijay,Shipped,in-store,94.34,2024-01-15,2024,January,1
S00085,2023-10-11 19:58:00,P1084,Kurta_084,Kurta,Yellow,XL,2,299.27,259.57,598.54,519.14,C20084,Ravi_0084,Erode,11.34,77.7172,SP103,Rahul,Pending,mobile_app,79.4,2023-10-11,2023,October,10
S00086,2023-12-10 21:04:00,P1085,Kurta_085,Kurta,Pink,XL,1,1799.45,1120.39,1799.45,1120.39,C20085,Devi_0085,Chennai,13.0827,80.2707,SP148,Jagan,Cancelled,online,679.06,2023-12-10,2023,December,12
S00087,2023-04-19 12:17:00,P1086,Kurta_086,Kurta,Grey,XS,1,1643.38,1274.1,1643.38,1274.1,C20086,Karthik_0086,Salem,11.6643,78.146,SP148,Jagan,Shipped,online,369.28,2023-04-19,2023,April,4
S00088,2024-08-08 10:16:00,P1087,Kurta_087,Kurta,Maroon,XXL,3,1248.01,980.99,3744.03,2942.97,C20087,Devi_0087,Tiruchirappalli,10.7905,78.7047,SP131,Anand,Pending,in-store,801.06,2024-08-08,2024,August,8
S00089,2023-06-30 12:27:00,P1088,T-Shirts_088,T-Shirts,Pink,L,1,727.61,494.62,727.61,494.62,C20088,Aarav_0088,Erode,11.34,77.7172,SP121,Vinod,Shipped,in-store,232.99,2023-06-30,2023,June,6
S00090,2023-08-23 13:27:00,P1089,Kid's_089,Kid's Wear,Grey,S,4,1433.02,992.88,5732.08,3971.52,C20089,Sathish_0089,Chennai,13.0827,80.2707,SP125,Saravanan,Cancelled,third-party,1760.56,2023-08-23,2023,August,8
S00091,2024-06-12 18:09:00,P1090,Men's_090,Men's Shirts,Blue,XXL,3,375.26,331.04,1125.78,993.12,C20090,Priya_0090,Madurai,9.9252,78.1198,SP129,Nithin,Pending,in-store,132.66,2024-06-12,2024,June,6
S00092,2023-09-28 16:55:00,P1091,Men's_091,Men's Shirts,White,L,1,2345.28,2016.52,2345.28,2016.52,C20091,Karthik_0091,Tiruchirappalli,10.7905,78.7047,SP129,Nithin,Returned,mobile_app,328.76,2023-09-28,2023,September,9
S00093,2023-01-30 10:22:00,P1092,Sarees_092,Sarees,Pink,M,1,1304.85,1168.61,1304.85,1168.61,C20092,Sanjay_0092,Erode,11.34,77.7172,SP116,Vignesh,Paid,mobile_app,136.24,2023-01-30,2023,January,1
S00094,2023-09-02 18:23:00,P1093,Sportswear_093,Sportswear,Red,XXL,1,2136.87,1819.54,2136.87,1819.54,C20093,Anu_0093,Chennai,13.0827,80.2707,SP122,Bharath,Pending,in-store,317.33,2023-09-02,2023,September,9
S00095,2023-11-01 14:16:00,P1094,Women's_094,Women's Dresses,Red,XS,4,2188.86,1847.11,8755.44,7388.44,C20094,Meena_0094,Tiruchirappalli,10.7905,78.7047,SP101,Arun,Cancelled,mobile_app,1367.0,2023-11-01,2023,November,11
S00096,2024-10-11 21:33:00,P1095,Kid's_095,Kid's Wear,Black,S,2,1870.08,1546.79,3740.16,3093.58,C20095,Ravi_0095,Coimbatore,11.0168,76.9558,SP136,Prakash,Pending,in-store,646.58,2024-10-11,2024,October,10
S00097,2023-09-03 12:12:00,P1096,Sportswear_096,Sportswear,White,M,1,2394.32,1872.0,2394.32,1872.0,C20096,Kavin_0096,Coimbatore,11.0168,76.9558,SP149,Hari,Pending,mobile_app,522.32,2023-09-03,2023,September,9
S00098,2023-05-29 18:37:00,P1097,T-Shirts_097,T-Shirts,Blue,XL,2,817.95,496.21,1635.9,992.42,C20097,Aarav_0097,Salem,11.6643,78.146,SP136,Prakash,Shipped,online,643.48,2023-05-29,2023,May,5
S00099,2023-11-20 15:49:00,P1098,Kurta_098,Kurta,Black,XS,1,2160.02,1653.65,2160.02,1653.65,C20098,Sathish_0098,Tiruchirappalli,10.7905,78.7047,SP106,Praveen,Returned,in-store,506.37,2023-11-20,2023,November,11
S00100,2023-12-31 20:24:00,P1099,Women's_099,Women's Dresses,Red,M,4,266.2,220.03,1064.8,880.12,C20099,Anu_0099,Erode,11.34,77.7172,SP142,Kishore,Returned,online,184.68,2023-12-31,2023,December,12
S00101,2024-02-08 18:12:00,P1100,Women's_100,Women's Dresses,Maroon,XXL,3,1619.71,1448.25,4859.13,4344.75,C20100,Karthik_0100,Chennai,13.0827,80.2707,SP126,Aravind,Shipped,mobile_app,514.38,2024-02-08,2024,February,2
S00102,2024-01-31 17:33:00,P1101,Women's_101,Women's Dresses,Pink,M,1,2279.56,1605.9,2279.56,1605.9,C20101,Lakshmi_0101,Vellore,12.9165,79.1325,SP145,Naren,Pending,online,673.66,2024-01-31,2024,January,1
S00103,2023-12-01 19:23:00,P1102,Kurta_102,Kurta,Green,XXL,4,1404.29,1136.48,5617.16,4545.92,C20102,Anu_0102,Salem,11.6643,78.146,SP139,Yogesh,Cancelled,online,1071.24,2023-12-01,2023,December,12
S00104,2024-06-01 15:50:00,P1103,Sportswear_103,Sportswear,Grey,L,1,793.96,585.74,793.96,585.74,C20103,Bhuvana_0103,Salem,11.6643,78.146,SP120,Harish,Pending,online,208.22,2024-06-01,2024,June,6
S00105,2024-09-29 15:19:00,P1104,Women's_104,Women's Dresses,White,L,1,1533.19,1077.02,1533.19,1077.02,C20104,Meena_0104,Vellore,12.9165,79.1325,SP136,Prakash,Cancelled,online,456.17,2024-09-29,2024,September,9
S00106,2023-12-16 15:35:00,P1105,Kurta_105,Kurta,Yellow,XS,1,519.3,411.42,519.3,411.42,C20105,Ravi_0105,Tirunelveli,8.7139,77.7567,SP111,Dinesh,Shipped,in-store,107.88,2023-12-16,2023,December,12
S00107,2023-04-29 14:53:00,P1106,Jeans_106,Jeans,Yellow,M,1,1385.04,1235.36,1385.04,1235.36,C20106,Karthik_0106,Salem,11.6643,78.146,SP138,Lokesh,Returned,online,149.68,2023-04-29,2023,April,4
S00108,2024-01-27 12:49:00,P1107,Men's_107,Men's Shirts,Maroon,S,1,840.76,549.1,840.76,549.1,C20107,Diya_0107,Tiruchirappalli,10.7905,78.7047,SP146,Selva,Shipped,online,291.66,2024-01-27,2024,January,1
S00109,2023-02-27 11:27:00,P1108,Sportswear_108,Sportswear,Maroon,S,1,2256.7,1441.18,2256.7,1441.18,C20108,Devi_0108,Vellore,12.9165,79.1325,SP141,Mahesh,Shipped,in-store,815.52,2023-02-27,2023,February,2
